bp,w/f,sm,a/w,d/w,ir,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,age,height,weight,value,wage,attacking,crossing,finishing,heading accuracy,short passing,volleys,skill,dribbling,curve,fk accuracy,long passing,ball control,movement,acceleration,sprint speed,agility,reactions,balance,power,shot power,jumping,stamina,strength,long shots,mentality,aggression,interceptions,positioning,vision,penalties,composure,defending,marking,standing tackle,sliding tackle,goalkeeping,gk diving,gk handling,gk kicking,gk positioning,gk reflexes,total stats,base stats,pac,sho,pas,dri,def,phy,ova
CB,3,2,2,2,2,4,57,57,57,54,56,56,56,54,55,55,55,54,57,57,57,54,64,64,64,64,64,65,72,72,72,65,18,37,6.2,172.0,625000,500,269,47,38,78,71,35.0,214,61,32.0,35,20,66,257,41,33,54.0,71,58.0,314,54,72.0,64,82,42,292,72,70.0,58.0,44.0,48,83.0,217,63,76,78.0,56,8,11,10,16,11,1619,337,37,43,49,62,71,75,72
RM,3,3,0,1,1,7,59,59,59,64,62,62,62,64,62,62,62,63,54,54,54,63,48,42,42,42,48,45,37,37,37,45,15,21,5.5,130.0,650000,500,256,58,52,35,56,55.0,264,70,42.0,38,44,70,385,82,83,85.0,55,80.0,285,62,58.0,52,59,54,222,34,20.0,57.0,56.0,55,48.0,77,20,28,29.0,53,9,12,11,12,9,1542,339,83,55,53,71,25,52,64
CDM,3,2,2,2,1,4,57,57,57,60,60,60,60,60,62,62,62,63,66,66,66,63,67,69,69,69,67,66,68,68,68,66,18,27,6.0,170.0,800000,3000,271,58,48,62,69,34.0,302,67,63.0,38,66,68,280,49,62,52.0,63,54.0,324,49,67.0,84,75,49,302,78,70.0,49.0,66.0,39,62.0,197,67,66,64.0,60,15,10,11,14,10,1736,376,56,47,64,65,67,77,68
RB,3,3,2,2,1,87,58,58,58,63,60,60,60,63,61,61,61,66,62,62,62,66,71,69,69,69,71,71,69,69,69,71,16,23,5.9,157.0,5000000,9000,272,70,43,54,70,35.0,280,68,44.0,38,61,69,371,81,75,79.0,65,71.0,320,55,70.0,87,74,34,285,76,67.0,53.0,42.0,47,60.0,209,67,72,70.0,47,6,12,9,7,13,1784,396,78,44,60,69,68,77,73
CB,2,2,2,2,1,3,43,43,43,43,42,42,42,43,42,42,42,44,43,43,43,44,51,49,49,49,51,54,54,54,54,54,12,17,5.11,165.0,130000,500,219,43,29,58,53,36.0,190,36,31.0,36,41,46,299,66,64,62.0,51,56.0,221,41,64.0,41,43,32,198,46,56.0,32.0,26.0,38,41.0,166,49,59,58.0,37,6,5,9,7,10,1330,282,65,33,42,43,55,44,54
CAM,3,4,0,1,1,22,67,67,67,69,70,70,70,69,71,71,71,68,65,65,65,68,52,51,51,51,52,49,42,42,42,49,20,22,5.8,154.0,11000000,6000,297,45,69,43,75,65.0,346,75,65.0,67,65,74,359,70,70,77.0,69,73.0,303,68,51.0,63,59,62,248,37,25.0,69.0,64.0,53,72.0,93,28,31,34.0,69,15,10,13,16,15,1715,360,70,66,64,75,30,55,67
GK,3,1,2,2,1,3,28,28,28,26,27,27,27,26,26,26,26,28,25,25,25,28,27,25,25,25,27,27,26,26,26,27,62,28,6.3,198.0,325000,3000,101,19,16,18,28,20.0,86,20,14.0,19,16,17,246,47,49,33.0,61,56.0,200,43,41.0,41,63,12,103,20,16.0,12.0,33.0,22,25.0,48,18,17,13.0,307,62,60,57,62,66,1091,355,62,60,57,66,48,62,63
ST,3,3,2,1,1,6,66,66,66,65,65,65,65,65,63,63,63,64,56,56,56,64,50,45,45,45,50,48,43,43,43,48,17,25,6.1,172.0,825000,6000,293,49,63,63,59,59.0,255,69,43.0,39,39,65,366,87,84,72.0,62,61.0,358,63,85.0,79,73,58,251,53,21.0,63.0,56.0,58,58.0,76,29,23,24.0,57,9,11,11,14,12,1656,366,85,62,52,67,29,71,66
CDM,2,2,2,2,1,4,53,53,53,54,54,54,54,54,56,56,56,56,59,59,59,56,60,63,63,63,60,60,62,62,62,60,16,24,6.1,176.0,500000,2000,236,43,39,51,65,38.0,241,51,37.0,33,59,61,295,62,56,62.0,62,53.0,297,56,61.0,71,68,41,273,65,65.0,49.0,58.0,36,59.0,184,63,64,57.0,55,13,6,13,9,14,1581,343,59,43,55,56,62,68,64
GK,3,1,2,2,1,7,20,20,20,19,20,20,20,19,20,20,20,20,21,21,21,20,18,20,20,20,18,18,18,18,18,18,61,21,6.2,163.0,350000,2000,56,12,8,9,21,6.0,79,11,14.0,12,23,19,171,32,24,28.0,50,37.0,166,44,47.0,21,43,11,75,22,8.0,5.0,25.0,15,24.0,31,6,14,11.0,309,66,67,58,60,58,887,337,66,67,58,58,28,60,62
GK,3,1,2,2,1,9,29,29,29,28,31,31,31,28,32,32,32,30,32,32,32,30,28,29,29,29,28,27,27,27,27,27,68,24,6.2,176.0,11000000,2000,90,13,15,14,29,19.0,95,17,16.0,21,18,23,246,45,44,36.0,66,55.0,248,50,70.0,44,65,19,129,20,18.0,11.0,65.0,15,48.0,51,16,18,17.0,341,70,66,66,67,72,1200,385,70,66,66,72,44,67,69
ST,3,2,0,1,1,4,58,58,58,55,56,56,56,55,54,54,54,54,49,49,49,54,43,41,41,41,43,42,40,40,40,42,13,18,6.0,181.0,325000,900,269,36,62,66,52,53.0,233,57,46.0,36,33,61,290,61,64,54.0,49,62.0,296,56,62.0,67,62,49,218,37,22.0,55.0,47.0,57,49.0,82,29,26,27.0,40,8,10,8,6,8,1428,310,63,57,44,58,30,58,59
CAM,3,3,2,2,1,19,58,58,58,63,62,62,62,63,64,64,64,64,63,63,63,64,56,56,56,56,56,55,51,51,51,55,17,20,6.2,174.0,1000000,8000,279,55,47,49,74,54.0,316,69,53.0,52,69,73,303,65,68,47.0,63,60.0,271,55,56.0,48,57,55,250,42,35.0,50.0,63.0,60,62.0,147,40,53,54.0,57,14,12,11,7,13,1623,347,67,51,65,67,45,52,64
ST,3,2,0,2,1,7,63,63,63,60,61,61,61,60,59,59,59,59,55,55,55,59,49,48,48,48,49,48,47,47,47,48,15,26,6.1,168.0,475000,3000,290,48,65,63,56,58.0,251,58,42.0,45,45,61,322,60,66,69.0,63,64.0,346,64,80.0,75,75,52,264,62,17.0,65.0,57.0,63,62.0,110,26,41,43.0,43,9,8,8,9,9,1626,345,63,62,52,61,34,73,63
CAM,3,3,0,2,1,3,53,53,53,53,53,53,53,53,54,54,54,53,53,53,53,53,51,51,51,51,51,51,51,51,51,51,15,18,6.1,172.0,160000,500,238,43,49,53,56,37.0,242,51,46.0,37,54,54,281,67,56,56.0,48,54.0,296,58,62.0,60,66,50,238,50,41.0,53.0,54.0,40,55.0,145,46,50,49.0,51,15,14,7,7,8,1491,322,61,50,51,52,47,61,55
CB,3,2,2,2,1,6,55,55,55,59,57,57,57,59,58,58,58,61,59,59,59,61,64,63,63,63,64,64,65,65,65,64,15,26,5.8,154.0,675000,4000,266,61,47,66,63,29.0,246,63,27.0,37,58,61,333,67,67,69.0,60,70.0,280,40,81.0,69,68,22,258,59,63.0,56.0,53.0,27,55.0,195,64,66,65.0,49,13,10,10,6,10,1627,358,67,39,57,63,65,67,66
CAM,4,4,0,2,1,430,74,74,74,77,76,76,76,77,76,76,76,76,69,69,69,76,58,54,54,54,58,55,48,48,48,55,17,22,5.9,159.0,145000000,14000,346,73,71,57,71,74.0,377,82,76.0,75,66,78,413,87,87,86.0,76,77.0,361,79,72.0,70,66,74,295,59,23.0,75.0,72.0,66,80.0,100,37,35,28.0,50,12,6,9,15,8,1942,413,87,73,71,81,35,66,77
ST,4,4,2,2,1,89,77,77,77,72,76,76,76,72,73,73,73,71,64,64,64,71,53,52,52,52,53,51,51,51,51,51,18,29,6.0,176.0,9000000,16000,345,45,77,82,65,76.0,318,76,66.0,54,44,78,363,77,82,67.0,76,61.0,394,80,90.0,75,83,66,331,76,29.0,78.0,73.0,75,72.0,79,36,19,24.0,59,8,11,16,10,14,1889,402,80,75,59,75,33,80,77
LM,5,3,2,2,1,5,63,63,63,67,65,65,65,67,65,65,65,67,63,63,63,67,63,59,59,59,63,61,54,54,54,61,16,28,5.11,163.0,900000,17000,293,67,66,40,65,55.0,322,70,53.0,66,63,70,364,75,81,73.0,64,71.0,313,63,51.0,78,58,63,229,48,40.0,60.0,50.0,31,63.0,175,59,61,55.0,53,14,10,12,8,9,1749,387,78,62,62,70,54,61,68
ST,3,2,2,2,1,4,59,59,59,56,57,57,57,56,55,55,55,55,47,47,47,55,41,37,37,37,41,40,34,34,34,40,16,20,5.11,154.0,275000,3000,242,31,65,57,44,45.0,211,59,34.0,28,35,55,342,77,82,62.0,53,68.0,298,55,60.0,72,58,53,214,31,22.0,54.0,50.0,57,49.0,52,25,12,15.0,54,15,11,6,9,13,1413,316,80,59,40,58,23,56,59
RM,3,3,2,2,1,8,63,63,63,68,66,66,66,68,66,66,66,67,61,61,61,67,54,52,52,52,54,50,44,44,44,50,16,24,5.6,123.0,11000000,9000,297,69,66,40,70,52.0,290,70,50.0,40,62,68,373,75,74,83.0,60,81.0,294,70,49.0,64,53,58,278,75,32.0,62.0,59.0,50,66.0,94,33,31,30.0,54,7,11,14,15,7,1680,366,74,64,64,71,33,60,68
CB,2,2,1,0,1,3,45,45,45,42,43,43,43,42,42,42,42,44,46,46,46,44,57,57,57,57,57,59,63,63,63,59,16,21,6.0,179.0,650000,3000,210,28,29,66,59,28.0,174,28,31.0,29,28,58,288,61,65,48.0,59,55.0,266,46,68.0,66,65,21,218,55,65.0,24.0,30.0,44,49.0,188,63,66,59.0,57,10,13,13,8,13,1401,302,63,31,39,42,64,63,64
LM,4,3,2,1,1,7,59,59,59,64,62,62,62,64,63,63,63,64,56,56,56,64,47,43,43,43,47,43,36,36,36,43,15,32,6.0,172.0,425000,950,264,64,54,32,61,53.0,314,70,69.0,57,52,66,360,74,74,78.0,59,75.0,325,71,67.0,65,66,56,231,45,15.0,56.0,60.0,55,64.0,61,33,15,13.0,47,8,14,8,10,7,1602,345,74,58,60,69,22,62,65
ST,3,2,2,2,1,3,61,61,61,53,57,57,57,53,54,54,54,51,50,50,50,51,41,44,44,44,41,41,44,44,44,41,17,27,6.3,196.0,300000,500,273,30,58,69,59,57.0,241,45,52.0,45,36,63,267,53,53,51.0,60,50.0,318,69,54.0,52,85,58,236,45,19.0,57.0,48.0,67,56.0,88,32,31,25.0,64,7,15,16,15,11,1487,312,53,61,47,52,32,67,61
CB,3,2,2,2,1,6,41,41,41,40,39,39,39,40,41,41,41,43,45,45,45,43,54,54,54,54,54,56,60,60,60,56,15,19,6.5,190.0,425000,2000,214,41,16,61,55,41.0,190,35,28.0,28,51,48,264,56,68,58.0,48,34.0,249,35,61.0,51,81,21,197,48,59.0,24.0,30.0,36,51.0,177,52,63,62.0,58,13,12,15,8,10,1349,297,63,23,44,42,59,66,60
ST,4,2,2,2,1,7,61,61,61,54,58,58,58,54,55,55,55,53,51,51,51,53,41,43,43,43,41,40,42,42,42,40,17,20,6.2,176.0,450000,2000,267,27,64,62,57,57.0,220,54,40.0,31,34,61,246,53,54,37.0,60,42.0,312,63,70.0,56,69,54,259,59,30.0,62.0,48.0,60,52.0,70,24,25,21.0,57,12,10,9,12,14,1431,306,54,61,44,54,29,64,61
CB,2,2,2,0,1,6,59,59,59,55,56,56,56,55,57,57,57,55,61,61,61,55,63,68,68,68,63,64,72,72,72,64,15,26,6.3,194.0,11000000,7000,267,44,48,77,66,32.0,272,60,41.0,46,60,65,240,52,41,57.0,52,38.0,393,79,70.0,76,90,78,290,74,74.0,38.0,52.0,52,52.0,212,72,72,68.0,51,14,10,8,12,7,1725,376,46,59,56,60,73,82,69
LB,3,2,2,2,1,3,46,46,46,51,49,49,49,51,51,51,51,53,53,53,53,53,54,54,54,54,54,53,51,51,51,53,15,30,5.9,157.0,60000,1000,226,57,33,44,62,30.0,246,53,40.0,43,60,50,300,55,60,60.0,53,72.0,249,48,61.0,58,44,38,251,61,50.0,42.0,49.0,49,36.0,152,50,51,51.0,54,15,11,11,11,6,1478,308,58,38,56,54,50,52,55
ST,2,3,0,1,1,239,74,74,74,74,74,74,74,74,73,73,73,73,66,66,66,73,56,53,53,53,56,53,47,47,47,53,19,21,5.9,141.0,10000000,12000,337,65,75,63,71,63.0,347,77,73.0,61,61,75,396,80,79,81.0,73,83.0,359,75,68.0,74,68,74,292,54,27.0,77.0,63.0,71,77.0,93,33,29,31.0,61,11,14,10,14,12,1885,396,79,74,66,77,33,67,74
CDM,3,2,2,0,1,7,62,62,62,63,63,63,63,63,65,65,65,64,67,67,67,64,67,70,70,70,67,68,71,71,71,68,18,31,6.1,170.0,18000000,7000,280,48,49,69,72,42.0,301,66,51.0,48,68,68,351,73,71,73.0,65,69.0,329,59,71.0,71,77,51,309,75,72.0,58.0,65.0,39,73.0,206,69,70,67.0,59,16,15,8,12,8,1835,398,72,51,63,67,70,75,71
LB,2,2,2,2,1,3,57,57,57,58,57,57,57,58,57,57,57,60,58,58,58,60,64,62,62,62,64,64,64,64,64,64,17,25,5.7,134.0,725000,500,255,55,42,57,59,42.0,267,70,41.0,48,49,59,331,66,67,67.0,62,69.0,348,63,87.0,77,81,40,252,43,72.0,54.0,47.0,36,51.0,187,66,64,57.0,59,15,14,13,11,6,1699,370,67,46,53,66,65,73,66
LB,3,3,0,2,1,4,63,63,63,67,65,65,65,67,67,67,67,68,68,68,68,68,71,70,70,70,71,71,69,69,69,71,18,33,5.1,161.0,18000000,15000,324,79,48,61,73,63.0,362,70,75.0,77,68,72,347,68,63,72.0,72,72.0,344,75,67.0,68,66,68,294,70,70.0,51.0,65.0,38,72.0,215,71,71,73.0,60,10,13,15,7,15,1946,403,65,58,72,71,70,67,73
ST,3,3,2,2,1,6,63,63,63,57,59,59,59,57,56,56,56,55,49,49,49,55,38,38,38,38,38,37,37,37,37,37,14,20,5.11,159.0,750000,5000,275,34,66,64,54,57.0,228,57,39.0,35,38,59,309,69,66,55.0,56,63.0,314,65,69.0,52,71,57,251,63,13.0,63.0,46.0,66,55.0,44,13,18,13.0,48,12,10,15,5,6,1469,317,67,63,44,58,20,65,64
CB,2,2,1,2,1,4,44,44,44,40,42,42,42,40,42,42,42,42,47,47,47,42,53,58,58,58,53,55,63,63,63,55,19,25,6.0,179.0,500000,5000,191,24,21,66,51,29.0,213,27,35.0,38,48,65,261,53,50,51.0,54,53.0,258,40,61.0,54,78,25,249,69,62.0,38.0,27.0,53,57.0,185,62,63,60.0,67,15,16,8,13,15,1424,293,51,28,39,43,63,69,64
RM,3,4,0,2,1,5,60,60,60,66,64,64,64,66,64,64,64,65,59,59,59,65,50,46,46,46,50,46,37,37,37,46,15,26,5.5,137.0,700000,3000,287,67,65,34,61,60.0,333,65,70.0,72,60,66,370,80,75,79.0,57,79.0,285,63,61.0,64,33,64,296,79,31.0,64.0,60.0,62,63.0,63,20,22,21.0,53,8,8,14,12,11,1687,346,77,64,63,67,24,51,66
ST,2,3,2,2,1,19,69,69,69,63,66,66,66,63,62,62,62,60,54,54,54,60,43,42,42,42,43,42,42,42,42,42,15,23,6.0,163.0,15000000,5000,303,40,68,74,56,65.0,303,69,56.0,60,47,71,338,69,71,65.0,63,70.0,358,77,90.0,47,74,70,231,42,18.0,68.0,40.0,63,65.0,64,23,21,20.0,51,11,11,14,9,6,1648,345,70,70,48,69,26,62,69
ST,2,2,2,2,1,4,59,59,59,57,57,57,57,57,55,55,55,55,48,48,48,55,40,36,36,36,40,38,33,33,33,38,17,19,6.0,163.0,325000,3000,267,44,64,59,53,47.0,231,55,43.0,38,41,54,322,69,69,64.0,58,62.0,284,60,63.0,51,49,61,218,32,13.0,57.0,46.0,70,53.0,54,19,21,14.0,60,12,13,10,15,10,1436,303,69,62,47,56,22,47,59
CB,3,3,2,0,2,69,60,60,60,56,60,60,60,56,62,62,62,60,71,71,71,60,73,81,81,81,73,75,83,83,83,75,19,32,6.4,194.0,165000000,75000,258,25,37,82,75,39.0,334,65,62.0,56,79,72,277,66,59,32.0,85,35.0,371,75,67.0,83,86,60,320,77,86.0,20.0,65.0,72,85.0,259,87,87,85.0,53,11,9,9,13,11,1872,406,62,50,62,63,86,83,83
RM,4,3,2,1,1,5,64,64,64,67,66,66,66,67,66,66,66,66,59,59,59,66,51,47,47,47,51,48,42,42,42,48,16,29,5.6,157.0,750000,5000,291,63,59,43,62,64.0,330,70,70.0,67,57,66,405,86,78,89.0,60,92.0,336,75,86.0,51,61,63,254,35,26.0,64.0,62.0,67,70.0,94,30,33,31.0,53,7,13,11,13,9,1763,366,82,64,62,71,32,55,67
ST,3,2,2,2,1,5,60,60,60,55,56,56,56,55,54,54,54,53,48,48,48,53,43,43,43,43,43,43,45,45,45,43,15,23,5.1,168.0,350000,3000,262,32,61,69,53,47.0,225,56,40.0,31,40,58,316,68,78,58.0,48,64.0,318,59,85.0,54,69,51,243,61,32.0,54.0,41.0,55,53.0,77,23,32,22.0,52,8,14,8,10,12,1493,327,74,57,43,57,32,64,61
LM,4,4,0,2,1,32,73,73,73,75,75,75,75,75,73,73,73,73,68,68,68,73,60,58,58,58,60,58,53,53,53,58,17,25,5.8,165.0,65000000,500,321,58,66,60,67,70.0,339,79,69.0,55,60,76,439,93,93,92.0,73,88.0,340,85,52.0,73,56,74,310,68,38.0,72.0,68.0,64,66.0,126,44,52,30.0,51,13,8,8,10,12,1926,416,93,72,64,80,45,62,74
CAM,2,2,2,2,1,4,53,53,53,56,56,56,56,56,57,57,57,57,57,57,57,57,53,53,53,53,53,52,48,48,48,52,15,20,6.2,154.0,180000,750,236,44,47,41,65,39.0,268,58,46.0,47,58,59,301,66,65,57.0,56,57.0,263,54,51.0,58,50,50,240,44,43.0,48.0,55.0,50,57.0,142,40,52,50.0,45,9,8,5,9,14,1495,324,65,49,56,58,45,51,57
CB,2,2,1,0,2,18,47,47,47,42,44,44,44,42,45,45,45,45,53,53,53,45,58,67,67,67,58,61,73,73,73,61,20,32,6.4,196.0,26000000,11000,213,30,25,77,59,22.0,215,48,25.0,23,62,57,197,32,32,33.0,66,34.0,337,59,83.0,65,90,40,243,79,67.0,23.0,32.0,42,67.0,223,77,77,69.0,69,15,12,13,14,15,1497,316,32,35,45,49,74,81,73
CB,4,2,2,2,1,24,53,53,53,52,53,53,53,52,54,54,54,55,57,57,57,55,61,64,64,64,61,63,68,68,68,63,17,23,6.3,181.0,11000000,8000,241,40,36,67,63,35.0,250,53,38.0,39,60,60,289,63,68,48.0,60,50.0,291,51,68.0,59,78,35,265,68,62.0,42.0,53.0,40,59.0,207,68,70,69.0,61,14,11,14,9,13,1604,352,66,39,54,55,67,71,68
CM,3,4,2,2,2,556,75,75,75,80,80,80,80,80,83,83,83,80,84,84,84,80,78,81,81,81,78,76,74,74,74,76,19,23,5.7,161.0,41000000,98000,352,73,70,58,88,63.0,396,87,76.0,60,84,89,387,68,65,79.0,85,90.0,366,78,68.0,76,68,76,382,75,77.0,75.0,86.0,69,90.0,225,76,79,70.0,55,6,13,13,11,12,2163,454,66,73,82,87,75,71,84
LB,3,3,2,0,1,7,64,64,64,64,64,64,64,64,64,64,64,65,63,63,63,65,65,64,64,64,65,65,65,65,65,65,17,30,6.0,163.0,600000,3000,299,58,59,64,62,56.0,299,65,55.0,56,60,63,359,79,73,75.0,64,68.0,339,65,74.0,73,71,56,313,67,64.0,63.0,65.0,54,66.0,192,65,66,61.0,58,8,16,12,8,14,1859,398,76,59,61,66,65,71,67
CB,3,2,2,0,1,3,54,54,54,51,53,53,53,51,55,55,55,53,59,59,59,53,58,63,63,63,58,59,65,65,65,59,15,34,6.2,176.0,200000,3000,271,46,43,72,67,43.0,256,55,37.0,43,62,59,236,40,41,44.0,58,53.0,284,66,48.0,52,68,50,270,73,64.0,40.0,58.0,35,59.0,196,63,67,66.0,45,10,9,6,11,9,1558,332,41,48,58,55,66,64,65
CDM,3,2,2,2,1,3,51,51,51,56,54,54,54,56,56,56,56,58,57,57,57,58,60,60,60,60,60,59,57,57,57,59,14,23,5.6,154.0,325000,500,218,49,33,44,67,25.0,231,49,36.0,27,59,60,372,78,77,68.0,63,86.0,246,40,58.0,60,58,30,264,60,65.0,55.0,49.0,35,62.0,160,55,55,50.0,42,7,10,9,7,9,1533,338,77,35,55,57,55,59,61
CM,3,3,2,0,3,3,67,67,67,66,70,70,70,66,72,72,72,66,74,74,74,66,65,74,74,74,65,65,72,72,72,65,17,35,6.0,161.0,32000000,22000,319,60,68,61,82,48.0,379,73,72.0,77,81,76,231,32,31,40.0,73,55.0,308,78,55.0,32,70,73,374,75,74.0,70.0,80.0,75,80.0,226,76,76,74.0,51,13,10,9,11,8,1888,382,31,70,76,70,74,61,76
GK,3,1,2,2,1,3,19,19,19,15,17,17,17,15,17,17,17,17,19,19,19,17,17,20,20,20,17,17,19,19,19,17,62,23,6.0,168.0,475000,4000,57,10,9,11,18,9.0,71,5,12.0,13,29,12,161,28,23,21.0,41,48.0,186,46,59.0,25,51,5,84,22,10.0,7.0,26.0,19,22.0,34,8,14,12.0,320,63,67,61,64,65,913,345,63,67,61,65,25,64,63
ST,4,3,2,2,1,3,66,66,66,67,66,66,66,67,66,66,66,65,60,60,60,65,50,49,49,49,50,48,46,46,46,48,13,23,6.6,179.0,11000000,5000,320,61,64,65,62,68.0,320,74,62.0,55,55,74,299,66,80,62.0,58,33.0,297,61,62.0,46,69,59,277,59,37.0,61.0,65.0,55,59.0,81,30,29,22.0,37,8,7,7,10,5,1631,362,74,62,61,70,34,61,67
RM,3,3,2,2,1,20,57,57,57,64,62,62,62,64,62,62,62,64,58,58,58,64,54,50,50,50,54,51,42,42,42,51,15,19,5.1,165.0,1000000,3000,253,63,53,34,62,41.0,291,67,58.0,45,56,65,363,76,75,74.0,64,74.0,239,55,40.0,64,38,42,280,59,38.0,62.0,60.0,61,58.0,105,35,33,37.0,43,11,5,7,9,11,1574,337,75,51,60,67,35,49,65
CAM,2,5,0,0,3,391,77,77,77,83,82,82,82,83,84,84,84,84,82,82,82,84,70,70,70,70,70,66,57,57,57,66,18,27,5.11,143.0,44000000,140000,374,88,73,53,86,74.0,425,83,90.0,78,89,85,407,83,77,85.0,84,78.0,336,83,37.0,80,59,77,363,73,52.0,82.0,89.0,67,79.0,140,44,56,40.0,51,11,7,11,8,14,2096,443,80,76,87,84,50,66,85
CDM,3,2,1,2,1,6,59,59,59,59,60,60,60,59,63,63,63,61,69,69,69,61,66,72,72,72,66,66,71,71,71,66,19,31,6.0,176.0,27000000,15000,267,54,34,68,79,32.0,289,62,35.0,50,76,66,265,42,49,52.0,73,49.0,355,70,65.0,76,77,67,304,78,68.0,59.0,59.0,40,55.0,209,66,75,68.0,57,11,14,9,14,9,1746,369,46,49,66,62,70,76,73
